time,longitude,latitude,speed,bearing,accuracy
1385836412040,7.58816108,50.34379888,1.25,169.6,18.0
1385836412040,7.58816108,50.34379888,1.25,169.6,18.0
1385836409126,7.58814735,50.34392493,2.795085,186.2,17.0
1385836408116,7.58812601,50.34394564,1.118034,183.6,18.0
1385836408116,7.58812601,50.34394564,1.118034,183.6,18.0
1385836407147,7.58821942,50.34391145,1.118034,221.8,16.0
1385836407147,7.58821942,50.34391145,1.118034,221.8,16.0
1385836406168,7.58805571,50.34400825,1.3462912,189.7,22.0
1385836406168,7.58805571,50.34400825,1.3462912,189.7,22.0
1385836405121,7.58831502,50.34376602,1.5811388,193.2,15.0
1385836405121,7.58831502,50.34376602,1.5811388,193.2,15.0
1385836404111,7.58837957,50.34373063,2.0615528,174.5,19.0
1385836404111,7.58837957,50.34373063,2.0615528,174.5,19.0
1385836399295,7.5880552,50.344011,,,59.0
1385836399295,7.5880552,50.344011,,,59.0
1385836398560,7.5880175,50.3442915,,,40.0
1385836398560,7.5880175,50.3442915,,,40.0

