time,longitude,latitude,speed,bearing,accuracy
1385902581337,7.59938827,50.34973287,1.0,66.1,5.0
1385902581337,7.59938827,50.34973287,1.0,66.1,5.0
1385902587364,7.59946628,50.34979586,1.0,35.3,5.0
1385902587364,7.59946628,50.34979586,1.0,35.3,5.0
1385902588563,7.59948116,50.34980107,0.75,35.3,5.0
1385902588563,7.59948116,50.34980107,0.75,35.3,5.0
1385902592376,7.59952886,50.34982198,0.75,35.3,5.0
1385902592376,7.59952886,50.34982198,0.75,35.3,5.0
1385902593449,7.5995384,50.34982523,0.5,35.3,5.0
1385902593449,7.5995384,50.34982523,0.5,35.3,5.0
1385902602644,7.59959587,50.34993485,0.70710677,356.5,4.0
1385902611649,7.59962801,50.35004192,1.0,15.8,4.0
1385902611649,7.59962801,50.35004192,1.0,15.8,4.0
1385902612359,7.59963151,50.3500574,1.0,18.0,3.0
1385902612359,7.59963151,50.3500574,1.0,18.0,3.0
1385902613382,7.59963445,50.35007228,1.0,17.1,3.0
1385902613382,7.59963445,50.35007228,1.0,17.1,3.0
1385902623520,7.59972957,50.35019243,1.5,29.7,4.0
1385902623520,7.59972957,50.35019243,1.5,29.7,4.0
1385902634503,7.59987296,50.35028011,1.0,15.1,4.0
1385902634503,7.59987296,50.35028011,1.0,15.1,4.0
1385902637511,7.59987961,50.35031961,1.0,17.9,5.0
1385902637511,7.59987961,50.35031961,1.0,17.9,5.0
1385902638377,7.59988671,50.35033337,1.0,26.9,4.0
1385902646028,7.59994353,50.35044984,0.5,37.6,4.0
1385902646028,7.59994353,50.35044984,0.5,37.6,4.0
1385902654437,7.60002576,50.35053688,0.75,27.6,5.0
1385902654437,7.60002576,50.35053688,0.75,27.6,5.0
1385902655172,7.60005204,50.35054763,0.75,71.4,4.0
1385902655172,7.60005204,50.35054763,0.75,71.4,4.0
1385902656193,7.60007424,50.35055879,0.75,65.2,4.0
1385902656193,7.60007424,50.35055879,0.75,65.2,4.0
1385902656974,7.60010063,50.35056481,0.75,94.0,4.0
1385902656974,7.60010063,50.35056481,0.75,94.0,4.0
1385902658014,7.60012744,50.35057015,1.0,86.8,4.0
1385902658014,7.60012744,50.35057015,1.0,86.8,4.0
1385902658981,7.60014791,50.35057195,0.75,86.8,4.0
1385902658981,7.60014791,50.35057195,0.75,86.8,4.0
1385902668663,7.60023944,50.35049158,1.25,184.9,5.0
1385902668663,7.60023944,50.35049158,1.25,184.9,5.0
1385902680679,7.60033667,50.35032929,1.5,174.2,5.0
1385902680679,7.60033667,50.35032929,1.5,174.2,5.0
1385902691479,7.60016316,50.35022016,1.25,227.2,5.0
1385902691479,7.60016316,50.35022016,1.25,227.2,5.0
1385902701419,7.60000758,50.35011245,1.25,217.2,11.0
1385902701419,7.60000758,50.35011245,1.25,217.2,11.0
1385902702355,7.59999524,50.35010167,1.25,218.6,12.0
1385902702355,7.59999524,50.35010167,1.25,218.6,12.0
1385902703359,7.5999815,50.35008965,1.5,216.6,13.0
1385902703359,7.5999815,50.35008965,1.5,216.6,13.0
1385902704501,7.59997111,50.35007831,1.25,212.2,14.0
1385902704501,7.59997111,50.35007831,1.25,212.2,14.0
1385902712684,7.59985451,50.34999982,1.25,224.1,8.0
1385902712684,7.59985451,50.34999982,1.25,224.1,8.0
1385902722524,7.59974928,50.34989205,1.0,200.1,4.0
1385902722524,7.59974928,50.34989205,1.0,200.1,4.0
1385902736359,7.59962177,50.34972876,1.5,217.2,5.0
1385902736359,7.59962177,50.34972876,1.5,217.2,5.0
1385902747019,7.59956761,50.34960179,1.25,220.6,4.0
1385902747019,7.59956761,50.34960179,1.25,220.6,4.0
1385902747439,7.59955368,50.34959393,1.25,216.2,4.0
1385902747439,7.59955368,50.34959393,1.25,216.2,4.0
1385902748463,7.59953844,50.34958465,1.25,211.2,4.0
1385902748463,7.59953844,50.34958465,1.25,211.2,4.0
1385902758531,7.59942105,50.34949017,1.25,223.6,4.0
1385902758531,7.59942105,50.34949017,1.25,223.6,4.0
1385902770589,7.59934731,50.34934132,1.0,196.5,4.0
1385902770589,7.59934731,50.34934132,1.0,196.5,4.0
1385902785029,7.5992554,50.34915776,1.25,220.3,4.0
1385902785029,7.5992554,50.34915776,1.25,220.3,4.0
1385902792563,7.59920062,50.3490872,1.25,200.6,4.0
1385902792563,7.59920062,50.3490872,1.25,200.6,4.0
1385902793568,7.59919366,50.3490778,1.0,199.8,4.0
1385902793568,7.59919366,50.3490778,1.0,199.8,4.0
1385902796461,7.59916285,50.3490366,1.25,204.4,3.0
1385902796461,7.59916285,50.3490366,1.25,204.4,3.0
1385902809036,7.59901623,50.34884847,0.75,209.8,4.0
1385902809036,7.59901623,50.34884847,0.75,209.8,4.0
1385902820583,7.59898474,50.3487038,1.5,184.3,4.0
1385902820583,7.59898474,50.3487038,1.5,184.3,4.0
1385902830608,7.59889938,50.3485783,1.0,189.2,4.0
1385902830608,7.59889938,50.3485783,1.0,189.2,4.0
1385902836837,7.59883995,50.34851997,1.25,190.3,5.0
1385902836837,7.59883995,50.34851997,1.25,190.3,5.0
1385902837335,7.59883788,50.34850539,1.25,179.3,5.0
1385902837335,7.59883788,50.34850539,1.25,179.3,5.0
1385902838343,7.59883958,50.34848608,1.5,171.9,5.0
1385902838343,7.59883958,50.34848608,1.5,171.9,5.0
1385902839540,7.59883899,50.34846852,1.5,174.1,5.0
1385902839540,7.59883899,50.34846852,1.5,174.1,5.0
1385902841532,7.59883424,50.34843303,1.5,178.9,5.0
1385902841532,7.59883424,50.34843303,1.5,178.9,5.0
1385902842728,7.59882491,50.34841792,1.25,186.2,4.0
1385902842728,7.59882491,50.34841792,1.25,186.2,4.0
1385902851504,7.59867411,50.34829066,1.25,206.3,4.0
1385902851504,7.59867411,50.34829066,1.25,206.3,4.0
1385902861518,7.59855112,50.34816808,1.75,211.6,5.0
1385902861518,7.59855112,50.34816808,1.75,211.6,5.0
1385902862427,7.59854272,50.34815315,1.5,205.2,4.0
1385902862427,7.59854272,50.34815315,1.5,205.2,4.0
1385902881585,7.59831431,50.34794567,1.25,206.8,4.0
1385902881585,7.59831431,50.34794567,1.25,206.8,4.0
1385902882612,7.59832208,50.34793172,1.9525625,158.3,3.0
1385902882612,7.59832208,50.34793172,1.9525625,158.3,3.0
1385902883440,7.59832039,50.34791892,1.6007811,167.8,3.0
1385902883440,7.59832039,50.34791892,1.6007811,167.8,3.0
1385902884583,7.59832441,50.34790708,1.6007811,167.8,5.0
1385902884583,7.59832441,50.34790708,1.6007811,167.8,5.0
1385902892511,7.59826191,50.34781568,1.25,208.3,4.0
1385902892511,7.59826191,50.34781568,1.25,208.3,4.0
1385902893429,7.59825481,50.3478063,1.25,201.2,4.0
1385902893429,7.59825481,50.3478063,1.25,201.2,4.0
1385902914754,7.59799885,50.34757345,1.25,212.2,4.0
1385902924372,7.59789354,50.34748036,1.6007811,193.2,3.0
1385902924372,7.59789354,50.34748036,1.6007811,193.2,3.0
1385902926520,7.59787484,50.34746038,1.3462912,201.2,5.0
1385902926520,7.59787484,50.34746038,1.3462912,201.2,5.0
1385902927403,7.59785594,50.34745237,1.3462912,224.3,4.0
1385902927403,7.59785594,50.34745237,1.3462912,224.3,4.0
1385902928390,7.59783423,50.34744205,1.25,226.0,4.0
