@relation MobSensDodge

@attribute xArithMean numeric
@attribute yArithMean numeric
@attribute zArithMean numeric
@attribute xHarmMean numeric
@attribute yHarmMean numeric
@attribute zHarmMean numeric
@attribute xKurtosis numeric
@attribute yKurtosis numeric
@attribute zKurtosis numeric
@attribute xVariance numeric
@attribute yVariance numeric
@attribute zVariance numeric
@attribute label {DODGE,NODODGE}

@data
0.224174,2.771291,9.256423,1.261422,0.44983,0.152574,-0.070603,-0.040616,2.322961,2.619943,3.320788,6.035881,DODGE
0.223689,2.731924,9.366041,1.261922,0.457806,0.119291,-0.073253,-0.036882,1.626741,2.621127,3.303571,5.25246,DODGE
0.223544,2.709343,9.231649,1.262093,0.433684,0.112714,-0.074027,-0.112535,3.76774,2.621464,3.401133,6.427198,DODGE
0.21961,2.701869,9.214269,1.270037,0.434355,0.112978,-0.068722,-0.098844,3.662987,2.617418,3.391287,6.464661,DODGE
0.218685,2.733171,9.205299,1.271316,0.421423,0.113041,-0.073481,-0.045429,3.733398,2.61942,3.35899,6.41467,DODGE
0.517624,2.780208,9.322158,-0.156668,0.148029,0.125591,-0.615583,2.657235,0.658778,3.270536,4.064655,7.591714,DODGE
0.515092,2.766213,9.35762,-0.15561,0.148795,0.124859,-0.623528,2.760857,0.782483,3.28111,4.020643,7.437312,DODGE
0.4971,2.774136,9.293411,-0.037443,0.148262,0.127657,-0.607299,2.716275,0.679736,3.263862,4.03834,7.898927,DODGE
0.470744,2.751644,9.347803,-0.053291,0.109116,0.127216,-0.656871,2.516912,0.578422,3.304066,4.126134,8.130583,DODGE
0.446023,2.779667,9.324333,-0.073841,0.107855,0.12761,-0.655559,2.305244,0.512878,3.298494,4.24798,8.203198,DODGE
0.460965,2.778315,9.328353,-0.087527,0.108229,0.127572,-0.611333,2.298874,0.507539,3.246032,4.250374,8.211371,DODGE
0.426278,2.756883,9.388986,-0.101696,0.110229,0.126516,-0.668694,2.3608,0.614758,3.329551,4.221073,8.064635,DODGE
0.427807,2.705239,9.403052,-0.20447,0.186292,0.126393,-0.667221,2.34194,0.589411,3.328676,4.223219,8.102404,DODGE
0.4052,2.674506,9.39321,-0.222224,0.203848,0.126519,-0.695132,2.24443,0.575406,3.350731,4.264327,8.11313,DODGE
0.386189,2.739522,9.253026,-0.220765,0.201914,0.122356,-0.419774,2.398536,2.141109,3.509285,4.781835,9.640137,DODGE
0.475191,2.620731,9.270359,-0.215172,0.196945,0.122119,0.12113,5.774019,2.184237,3.786442,6.234304,9.616564,DODGE
0.450261,2.62776,9.269127,-0.237085,0.196466,0.122134,0.138885,5.736544,2.181949,3.777258,6.251698,9.617468,DODGE
0.428541,2.62409,9.230997,-0.27046,0.196778,0.122968,0.163437,5.747969,1.993238,3.764637,6.245678,9.788604,DODGE
0.4226,2.69584,9.171413,-0.269448,0.202442,0.123552,0.192083,6.647969,2.064384,3.740441,5.794883,9.628628,DODGE
0.373077,2.723943,9.124605,-0.277897,0.201187,0.124781,0.143067,6.329363,1.834588,3.832224,5.921307,9.869563,DODGE
0.362961,2.772229,9.109443,-0.522622,0.344526,0.124956,0.149473,6.512667,1.827176,3.830281,5.881843,9.862828,DODGE
0.340099,2.72837,9.057097,-0.543392,0.326596,0.125948,0.105797,6.148344,1.667518,3.867474,5.989332,10.006862,DODGE
0.343968,2.722407,9.059744,-0.191013,0.326832,0.125911,0.106659,6.217542,1.672868,3.866072,5.96141,10.00359,DODGE
0.2732,2.632673,9.079917,-0.198879,0.322187,0.125708,0.316717,5.399362,1.655224,4.17854,6.609922,10.042195,DODGE
0.329234,2.639817,9.05981,-0.187453,0.321305,0.125915,0.244397,5.401596,1.66901,4.338715,6.613265,10.008046,DODGE
0.293394,2.614719,9.028026,-0.209893,0.327125,0.12634,0.147625,5.338893,1.627594,4.453244,6.623451,10.024709,DODGE
0.312085,2.616477,9.031438,-0.212229,0.326912,0.12628,0.169792,5.339103,1.639609,4.329323,6.624384,10.014411,DODGE
0.330878,2.578926,9.032975,0.628193,0.315958,0.126267,0.226034,4.931792,1.636131,4.281896,6.797771,10.019791,DODGE
0.319572,2.587732,9.031442,0.631441,0.315405,0.126287,0.273089,4.886742,1.63392,4.244801,6.823286,10.020805,DODGE
0.313266,2.596715,9.033247,0.633449,0.31405,0.12627,0.246089,4.898459,1.631297,4.271764,6.823667,10.025311,DODGE
0.320127,2.556147,9.060715,1.058409,0.316472,0.125299,0.245049,5.171962,1.783089,4.271791,6.660464,9.828155,DODGE
0.312478,2.599689,8.992652,1.082664,0.564398,0.127173,0.224246,5.325826,1.550721,4.287178,6.621623,10.117587,DODGE
0.287104,2.564362,9.063507,1.06685,0.237244,0.126562,0.21302,5.132603,1.428721,4.298928,6.682038,10.447797,DODGE
0.288167,2.613493,9.040131,1.065444,0.201686,0.126973,0.216237,5.177087,1.358859,4.29644,6.695373,10.514808,DODGE
0.254261,2.61903,8.944663,0.967506,0.200608,0.128325,0.318038,5.194748,1.343419,4.206113,6.69165,10.385356,DODGE
